"property","spectra","model","MEC","CCC","RMSE","bias","RPD","RPIQ"
"Total Carbon","NIRVascan NIR (Savitzky-Golay)","Cubist",0.891,0.907,6.924,0.734,2.863,3.807
"Total Nitrogen","NIRVascan NIR (Savitzky-Golay)","Cubist",0.841,0.892,0.368,0.073,2.506,3.844
